dataset,model,method,scope,pretrain_steps,pretrain_fraction,learning_rate,steps,layers,hidden,step_unit,temperature,edge_direction,dropout,eval_every,initial_test_accuracy_mean,initial_test_accuracy_std,accuracy_delta_mean,accuracy_delta_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,val_accuracy_mean,val_accuracy_std,wall_seconds_mean,wall_seconds_std,milliseconds_per_step_mean,milliseconds_per_step_std,peak_rss_mb_mean,peak_rss_mb_std,incremental_peak_rss_mb_mean,incremental_peak_rss_mb_std
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,0.17780000120401382,0.06306504850313596,0.534600006043911,0.06240033162376713,0.7124000072479248,0.0016732985097363273,0.6858644247055053,0.0012666288628914028,0.7120000123977661,0.002828432856717583,18.124462841803325,0.019612430655788334,36.24892568360665,0.03922486131157667,478.346875,1.3726186765631632,42.571875,2.219509113097984
CiteSeer,gcn,bp,all,200,0.5,0.01,500,2,64,full_network_update,,,0.0,50,0.6723999857902527,0.013164343827421859,-0.0009999871253967285,0.019557589325940584,0.671399998664856,0.007300662343192519,0.637191915512085,0.008755699496825312,0.6639999866485595,0.02126029546074986,18.082221291802124,0.026032669440156662,36.16444258360425,0.052065338880313325,479.50625,1.5645923490641245,2.046875,2.670366898948532
Cora,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,0.15799999833106995,0.09375233652239098,0.6474000036716461,0.0945558054178639,0.8054000020027161,0.0023021820830447758,0.7941441178321839,0.0022663061804200886,0.7831999897956848,0.0010954310115890683,6.647517341599451,0.024618686237535263,13.295034683198901,0.049237372475070526,412.415625,0.8725271978210738,41.0375,0.6491994770003287
Cora,gcn,bp,all,200,0.5,0.01,500,2,64,full_network_update,,,0.0,50,0.7748000025749207,0.014078347048356869,-0.009400010108947754,0.015076479853110693,0.7653999924659729,0.0029664894251521337,0.7587477087974548,0.005817082728560201,0.7460000038146972,0.018110757612062055,6.653343174996553,0.017076567307607343,13.306686349993106,0.034153134615214686,412.478125,1.6909181238494362,1.146875,1.594844905762783
Cora,residual-gcn,bp,all,200,0.5,0.01,500,8,64,full_network_update,,,0.0,50,0.609333316485087,0.1736960889361152,0.08766667048136394,0.17601514884206046,0.696999986966451,0.029137593555016786,0.696682353814443,0.03574857232930564,0.6793333292007446,0.03971564095907597,16.812908569331437,0.04003190672672821,33.625817138662875,0.08006381345345642,552.234375,4.404781448536919,2.9322916666666665,3.4284801168241206
