dataset,model,method,scope,pretrain_steps,pretrain_fraction,learning_rate,steps,layers,hidden,step_unit,temperature,edge_direction,dropout,eval_every,seed,step,objective,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,0,,0.1666666716337204,0.0476190485060215,0.23199999332427979,0.06277056038379669,0.1809999942779541,0.05108664929866791
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,50,0.5876467823982239,0.9750000238418579,0.9749529957771301,0.7120000123977661,0.6776455044746399,0.7080000042915344,0.6782805323600769
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,100,0.2908816933631897,0.9916666746139526,0.9916614890098572,0.7080000042915344,0.675175130367279,0.7139999866485596,0.6878957152366638
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,150,0.21132753789424896,0.9916666746139526,0.9916614890098572,0.7200000286102295,0.6856160163879395,0.7110000252723694,0.6856229901313782
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,200,0.171491801738739,1.0,1.0,0.7200000286102295,0.6856613159179688,0.7059999704360962,0.6804003119468689
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,250,0.15331561863422394,1.0,1.0,0.7160000205039978,0.6797804832458496,0.7110000252723694,0.6845224499702454
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,300,0.1456037163734436,1.0,1.0,0.7139999866485596,0.6788093447685242,0.7099999785423279,0.6837058067321777
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,350,0.1425333321094513,1.0,1.0,0.7160000205039978,0.6799648404121399,0.7120000123977661,0.6862248778343201
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,400,0.1412959098815918,1.0,1.0,0.7160000205039978,0.6799184679985046,0.7099999785423279,0.6842296123504639
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,450,0.14078952372074127,1.0,1.0,0.7139999866485596,0.6778318285942078,0.7099999785423279,0.6833782196044922
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,41,500,0.14066943526268005,1.0,1.0,0.7160000205039978,0.6779325604438782,0.7149999737739563,0.6874740123748779
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,0,,0.1666666716337204,0.04830918088555336,0.21199999749660492,0.05869324505329132,0.23100000619888306,0.06301146000623703
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,50,0.5665843486785889,0.9750000238418579,0.9749529957771301,0.7059999704360962,0.6642922759056091,0.7120000123977661,0.6817054748535156
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,100,0.2787155508995056,0.9916666746139526,0.9916614890098572,0.7120000123977661,0.6783123016357422,0.7070000171661377,0.6807028651237488
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,150,0.20491713285446167,1.0,1.0,0.7120000123977661,0.6785516738891602,0.7089999914169312,0.6830469965934753
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,200,0.1710638850927353,1.0,1.0,0.7139999866485596,0.6801866888999939,0.7099999785423279,0.6839810013771057
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,250,0.15505127608776093,1.0,1.0,0.7099999785423279,0.6740410923957825,0.7129999995231628,0.6870839595794678
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,300,0.14790725708007812,1.0,1.0,0.7120000123977661,0.6765422821044922,0.7129999995231628,0.6862825751304626
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,350,0.14450450241565704,1.0,1.0,0.7139999866485596,0.6780101656913757,0.7129999995231628,0.6870647072792053
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,400,0.14265470206737518,1.0,1.0,0.7120000123977661,0.6763136386871338,0.7110000252723694,0.6852633953094482
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,450,0.14171957969665527,1.0,1.0,0.7099999785423279,0.6746942400932312,0.7120000123977661,0.6861075758934021
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,42,500,0.14099067449569702,1.0,1.0,0.7120000123977661,0.675929069519043,0.7129999995231628,0.6869375705718994
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,0,,0.1666666716337204,0.0476190485060215,0.18799999356269836,0.052749719470739365,0.16899999976158142,0.04818933084607124
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,50,0.5941218733787537,0.9666666388511658,0.9666309356689453,0.7099999785423279,0.6816966533660889,0.7080000042915344,0.677956759929657
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,100,0.29471880197525024,0.9916666746139526,0.9916614890098572,0.7160000205039978,0.6848416924476624,0.7139999866485596,0.6881697177886963
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,150,0.21076470613479614,0.9916666746139526,0.9916614890098572,0.7139999866485596,0.6804962754249573,0.7129999995231628,0.6869037747383118
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,200,0.17570294439792633,1.0,1.0,0.7179999947547913,0.6837198138237,0.7070000171661377,0.6807000041007996
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,250,0.1591852456331253,1.0,1.0,0.7139999866485596,0.6781892776489258,0.7099999785423279,0.6833698153495789
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,300,0.15035030245780945,1.0,1.0,0.7099999785423279,0.6742374300956726,0.7099999785423279,0.6830540299415588
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,350,0.14361555874347687,1.0,1.0,0.7120000123977661,0.6762533187866211,0.7089999914169312,0.682433545589447
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,400,0.14168165624141693,1.0,1.0,0.7139999866485596,0.6780614852905273,0.7089999914169312,0.6825249791145325
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,450,0.14100854098796844,1.0,1.0,0.7139999866485596,0.6781697273254395,0.7080000042915344,0.6816355586051941
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,43,500,0.1405954360961914,1.0,1.0,0.7120000123977661,0.6759605407714844,0.7110000252723694,0.6852726936340332
CiteSeer,gcn,bp,all,0,0.0,0.01,500,2,64,full_network_update,,,0.0,50,44,0,,0.1666666716337204,0.0476190485060215,0.21199999749660492,0.058305829763412476,0.23100000619888306,0.06255077570676804
